state,year,term,start,end
SA,1994,2,1994-05-02,1994-07-08
WA,1994,2,1994-05-02,1994-07-08
Tas,1994,2,1994-06-14,1994-08-26
NT,1994,2,1994-04-11,1994-06-17
ACT,1994,2,1994-04-11,1994-06-24
NSW,1994,3,1994-07-11,1994-09-23
Vic,1994,3,1994-07-18,1994-09-16
Qld,1994,3,1994-07-04,1994-09-16
SA,1994,3,1994-07-25,1994-09-30
WA,1994,3,1994-07-25,1994-09-30
Tas,1994,3,1994-09-12,1994-12-21
NT,1994,3,1994-07-18,1994-09-30
ACT,1994,3,1994-07-11,1994-09-23
NSW,1995,1,1995-01-30,1995-04-13
Vic,1995,1,1995-01-31,1995-04-07
Qld,1995,1,1995-01-30,1995-04-13
SA,1995,1,1995-01-31,1995-04-13
WA,1995,1,1995-02-01,1995-04-13
Tas,1995,1,1995-02-21,1995-05-26
NT,1995,1,1995-01-30,1995-04-07
ACT,1995,1,1995-01-30,1995-04-13
NSW,1995,2,1995-04-24,1995-06-30
Vic,1995,2,1995-04-24,1995-06-30
Qld,1995,2,1995-04-24,1995-06-16
SA,1995,2,1995-05-01,1995-07-07
WA,1995,2,1995-05-01,1995-07-07
Tas,1995,2,1995-06-13,1995-08-25
NT,1995,2,1995-04-18,1995-06-23
ACT,1995,2,1995-04-24,1995-06-30
NSW,1995,3,1995-07-17,1995-09-22
Vic,1995,3,1995-07-17,1995-09-22
Qld,1995,3,1995-07-03,1995-09-15
SA,1995,3,1995-07-24,1995-09-29
WA,1995,3,1995-07-24,1995-09-29
Tas,1995,3,1995-09-11,1995-12-20
NT,1995,3,1995-07-24,1995-09-29
ACT,1995,3,1995-07-17,1995-09-22
NSW,1996,1,1996-01-29,1996-03-29
Vic,1996,1,1996-01-30,1996-04-04
Qld,1996,1,1996-01-29,1996-04-04
SA,1996,1,1996-01-29,1996-04-12
WA,1996,1,1996-01-31,1996-04-04
Tas,1996,1,1996-02-14,1996-05-31
NT,1996,1,1996-01-30,1996-04-04
ACT,1996,1,1996-01-29,1996-03-29
NSW,1996,2,1996-04-15,1996-06-28
Vic,1996,2,1996-04-22,1996-06-28
Qld,1996,2,1996-04-15,1996-06-21
SA,1996,2,1996-04-29,1996-07-05
WA,1996,2,1996-04-22,1996-07-05
Tas,1996,2,1996-06-17,1996-09-06
